Bil,Nama Klinik,Alamat Premis 1,Alamat Premis 2,Poskod,Daerah,Negeri,No. Telefon,Fax,Email,No. Lesen,Kelas Lesen,Tujuan Kegunaan,Sektor
1,KELAB LUMBA KUDA PERAK,"RACECOURSE JALAN RAJA DI HILIR (JALAN TAMBUN),",,30350,"IPOH,",Perak,05-2549076 / 05-2542237,05-2531355,prtcequinehosp@hotmail.com,KKM/R/0447,C,MENSTOR MENGGUNA,Swasta
2,KLINIK HAIWAN & SURGERI GOH,"NO. 1, SELASAR WAH KEONG,","TAMAN WAH KEONG,",31400,"IPOH,",Perak,05-5454880 / 012-5013880,-,-,KKM/R/0293,C,MENSTOR MENGGUNA,Swasta
3,IPOH EAST VETERINARY CLINIC,"62, LALUAN PERAJURIT 1,","TAMAN IPOH TIMOR,",31400,"IPOH,",Perak,05-5469927,04-6586052,gilbert01png@gmail.com,KKM/R/0826,C,MENSTOR,
4,ZOO TAIPING,ZOO TAIPING,"JALAN TAMAN TASIK,",34000,"TAIPING,",Perak,05-8086577 / 019-550 9314,-,drkevin@zootaiping.gov.my,KKM/R/0849,C,MENSTOR,Swasta
5,IPOH GARDEN ANIMAL CLINIC SDN. BHD.,"NO. 30, PESARA IPOH SATU,","IPOH GARDEN,",31400,"IPOH,",Perak,05-5455933,-,igac30@hotmail.com,KKM/R/0775,C,MENSTOR MENGGUNA,Swasta
6,MAXWELL ANIMAL CLINIC,"NO. 9, LORONG KILANG 3A,","OFF JALAN TUPAI,",34000,"TAIPING,",Perak,05-8071669,-,ongteikwah@yahoo.com,KKM/R/0818,C,MENSTOR,Swasta
7,JEAN VETERINARY CENTRE,"19, JALAN MEDAN IPOH 4,","BANDAR BARU MEDAN,",31400,"IPOH,",Perak,05-5458281,-,-,KKM/R/0472,C,MENSTOR MENGGUNA,Swasta
8,YEOH VETERINARY CLINIC & SURGERY SDN. BHD.,"NO. 126, JALAN SS 24/2,","TAMAN MEGAH,",47301,"PETALING JAYA,",Selangor,03-7804 8684,03-7805 2350,-,KKM/R/0033,C,MENSTOR MENGGUNA,Swasta
9,KLINIK HAIWAN & SURGERY DHILLON,"NO. 19, JALAN 11/2,","JALAN BUKIT,",46200,"PETALING JAYA,",Selangor,012-678 7897,-,animalhaven.delsun@gmail.com,KKM/R/0184,C,MENSTOR MENGGUNA,Swasta
10,KLINIK VETERINAR HEALING ROOMS,"LOT 29, GROUND FLOOR, WISMA DICOR,","JALAN SS 17/1A, SUBANG JAYA,",47500,"PETALING JAYA,",Selangor,03-5637 6166,03-5637 3166,healingroomsveterinaryclinic@gmail.com,KKM/R/0739,C,MENSTOR MENGGUNA,Swasta
11,ST. ANGEL ANIMAL MEDICAL CENTRE,"NO. 17 & 19, JALAN BANDAR 14,","PUSAT BANDAR PUCHONG,",47160,"PUCHONG,",Selangor,03-5891 1884 / 012-278 8122,03-5882 8313,tslivy@yahoo.com ; ?cmding28@gmail.com],KKM/R/0456,C,MENSTOR MENGGUNA,Swasta
