Bil,Nama Klinik,Alamat Premis,Poskod,Daerah,Negeri,No. Telefon,No. Lesen,Kelas Lesen,Tujuan Kegunaan,Sektor
1,Kelab Lumba Kuda Perak,Racecourse Jalan Raja Di Hilir (Jalan Tambun),30350,Ipoh,Perak,05-2549076 / 05-2542237,KKM/R/0447,C,Menstor Mengguna,Swasta
2,Klinik Haiwan & Surgeri Goh,"No. 1, Selasar Wah Keong",31400,Ipoh,Perak,05-5454880 / 012-5013880,KKM/R/0293,C,Menstor Mengguna,Swasta
3,Ipoh East Veterinary Clinic,"62, Laluan Perajurit 1",31400,Ipoh,Perak,05-5469927,KKM/R/0826,C,Menstor,Swasta
4,Zoo Taiping,Zoo Taiping,34000,Taiping,Perak,05-8086577 / 019-550 9314,KKM/R/0849,C,Menstor,Swasta
5,Ipoh Garden Animal Clinic Sdn. Bhd.,"No. 30, Pesara Ipoh Satu",31400,Ipoh,Perak,05-5455933,KKM/R/0775,C,Menstor Mengguna,Swasta
6,Maxwell Animal Clinic,"No. 9, Lorong Kilang 3A",34000,Taiping,Perak,05-8071669,KKM/R/0818,C,Menstor,Swasta
7,Jean Veterinary Centre,"19, Jalan Medan Ipoh 4",31400,Ipoh,Perak,05-5458281,KKM/R/0472,C,Menstor Mengguna,Swasta
8,Yeoh Veterinary Clinic & Surgery Sdn. Bhd.,"No. 126, Jalan Ss 24/2",47301,Petaling jaya,Selangor,03-7804 8684,KKM/R/0033,C,Menstor Mengguna,Swasta
9,Klinik Haiwan & Surgery Dhillon,"No. 19, Jalan 11/2",46200,Petaling jaya,Selangor,012-678 7897,KKM/R/0184,C,Menstor Mengguna,Swasta
10,Klinik Veterinar Healing Rooms,"Lot 29, Ground Floor, Wisma Dicor",47500,Petaling jaya,Selangor,03-5637 6166,KKM/R/0739,C,Menstor Mengguna,Swasta
11,St. Angel Animal Medical Centre,"No. 17 & 19, Jalan Bandar 14",47160,Puchong,Selangor,03-5891 1884 / 012-278 8122,KKM/R/0456,C,Menstor Mengguna,Swasta
12,Thomas Animal Clinic & Pet Corner,"15, Jalan Mempelam",41100,Klang,Selangor,03-3371 7734,KKM/R/0466,C,Menstor Mengguna,Swasta
13,Heshmael'S Clinic For Pets Sdn. Bhd.,"21, Jalan Pju 5/13, Dataran Sunway",47810,Petaling jaya,Selangor,03-6156 2478,KKM/R/1035,C,Menstor Mengguna,Swasta
14,Klinik Haiwan Lian,"253, Jalan Sentosa 41",41050,Klang,Selangor,03-3345 1828,KKM/R/0213,C,Menstor Mengguna,Swasta
15,Bandar Puteri Veterinary Clinic & Surgery,"No. 16, Jalan Puteri 5/8",47100,Puchong,Selangor,012-326 3180 / 03-8062 1038,KKM/R/0390,C,Menstor Mengguna,Swasta
16,Animed Veterinary Center,"38, Jalan Temenggung 7/9",43200,Cheras,Selangor,03-9019 0100,KKM/R/0625,C,Menstor Mengguna,Swasta
17,City Pets Veterinary Clinic,"C1-00-27, Ground Floor, Jalan Sr 1/9",43300,Seri kembangan,Selangor,013-362 0336 / 03-8943 5602,KKM/R/0522,C,Menstor Mengguna,Swasta
18,Animal Medical Centre (Ulu Klang),"No. 6, Medan Damai Ukay",68000,Ampang,Selangor,03-4042 5873,KKM/R/0542,C,Menstor Mengguna,Swasta
19,Yap Animal Clinic & Surgery,"111, Berkeley Town Centre",41300,Klang,Selangor,03-3341 7255,KKM/R/0428,C,Menstor Mengguna,Swasta
20,Healing Pets Animal Clinic,"No. 16G, Jalan Ss 22/25",47400,Petaling jaya,Selangor,03-7725 6254/ 012-3132865,KKM/R/0999,C,Menstor,Swasta
21,Everise Veterinary Clinic,"21, Jalan Kp 1/4",43000,Kajang,Selangor,03-8733 0878 / 012-689 4566,KKM/R/0817,C,Menstor Mengguna,Swasta
22,One Usj Veterinary Centre Sdn. Bhd.,"No. S-00-05, Impian Meridian",47600,Subang jaya,Selangor,012-295 1089,KKM/R/0991,C,Menstor,Swasta
23,Hospital Veterinar Universiti (Upm),Unit Radiologi Hospital Veterinar Universiti,43400,Serdang,Selangor,03-86093980/ 3942,KKM/R/0329,C,Menstor Mengguna,Swasta
24,Usj Animal Clinic (Subang Jaya),"No. 51, Jalan Usj 8/2B",47610,Subang Jaya,Selangor,03-5621 1809,KKM/R/0574,C,Menstor Mengguna,Swasta
25,Klinik Veterinar Mayo,"11A, Jalan Usj 10/1G",47620,Uep subang jaya,Selangor,03-5637 7026 / 012-366 4183,KKM/R/0495,C,Menstor Mengguna,Swasta
26,Kinrara Veterinary Centre,"55-G, Jalan Kenari 21",47100,Puchong,Selangor,03-80800795 / 012-686 7363,KKM/R/0863,C,Menstor Mengguna,Swasta
27,Km Animal Clinic & Surgery,"No. 5, Jalan Industri Batu Caves 1/1",68100,Batu caves,Selangor,03-6185 0826 / 019-377 8455,KKM/R/0264,C,Menstor Mengguna,Swasta
